title,text,subject,date
Aliens Landed in Delhi Airport,Reports claim aliens landed secretly at Delhi airport last night and met officials.,worldnews,2024-03-01
Government Hiding Cure for Cancer,A viral post claims the government has hidden a natural cure for cancer for decades.,health,2024-03-02
Drinking Coffee Causes Blindness,A study falsely claims drinking more than two cups of coffee leads to blindness.,health,2024-03-03
India Bans Internet Permanently,Rumors spread that India will shut down internet services nationwide.,politics,2024-03-04
5G Towers Spread Virus,Conspiracy theory links 5G towers to spreading viral infections.,tech,2024-03-05
Moon Will Turn Green Tonight,Social media claims the moon will turn green due to rare cosmic event.,science,2024-03-06
Celebrity Adopts 1000 Children,Fake report says a famous celebrity adopted 1000 children in one day.,entertainment,2024-03-07
New Law Allows Free Cars,Posts claim government will give free cars to all citizens.,politics,2024-03-08
Earth Will Stop Rotating Tomorrow,False claim that Earth will stop spinning for 5 seconds tomorrow.,science,2024-03-09
Chocolate Cures All Diseases,Fake news suggests chocolate can cure all major diseases.,health,2024-03-10
